system,system_key,record,n_sequences,n_classes_present,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,weighted_f1,weighted_f1_ci_low,weighted_f1_ci_high,mcc,mcc_ci_low,mcc_ci_high,kappa,kappa_ci_low,kappa_ci_high,degenerate
Model-II (CNN-BiLSTM-Transformer),model2,201,1760,5,0.9142045454545454,0.9005681818181818,0.9267045454545455,0.19839704069050554,0.19762662310377643,0.24877452856525342,0.11964604402141582,0.11873677967466516,0.12048816568047337,0.8821176518306203,0.8635776458361728,0.8990187086943534,0.053644497656685386,0.011577787587528858,0.09428089642974523,0.034723231149208056,0.0065536025515447825,0.06373180102583278,False
Model-II (CNN-BiLSTM-Transformer),model2,ALL,6103,6,0.5869244633786662,0.5747992790430936,0.5998689169261019,0.16156968876860622,0.16066426938371545,0.19397910751692257,0.09257727695647679,0.09136368371705386,0.09384299899934616,0.44839985365122953,0.43401343236202977,0.4637887955989621,-0.04286530323665263,-0.05083822431347713,-0.03421110875136252,-0.015026092996133666,-0.018676060330961735,-0.011457585996556031,False
Persistence baseline,persistence,102,96,1,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,1.0,1.0,1.0,0.0,0.0,0.0,,,,True
Persistence baseline,persistence,104,160,1,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,1.0,1.0,1.0,0.0,0.0,0.0,,,,True
Persistence baseline,persistence,114,1829,3,0.9917987971569163,0.9874248223072717,0.9956260251503554,0.4653824986241057,0.3657488986784141,0.7489004947773502,0.17451843698403963,0.1374543376253603,0.20791922600282498,0.9917987971569163,0.9869374086644768,0.9957715867938554,0.37144886363636365,0.11029138609161333,0.600989643478947,0.37144886363636365,0.10764028112949978,0.5979117903802121,False
Persistence baseline,persistence,118,2258,2,0.9158547387068202,0.9043401240035429,0.9269264836138176,0.4832379355534998,0.47467413222961874,0.4959688055532397,0.12080948388837495,0.11890385508592662,0.1239398912039825,0.9158547387068202,0.9028449501393289,0.9281549889465891,-0.033524128893000306,-0.04876695276943943,-0.00825300614516592,-0.03352412889300038,-0.04859990504943108,-0.008227130123020137,False
Persistence baseline,persistence,201,1760,5,0.8738636363636364,0.8579545454545454,0.8886363636363637,0.28246236244761674,0.2408305581043831,0.39788987889068234,0.17653897652976047,0.14817666249721131,0.20804186463068,0.8738636363636364,0.8561980350506986,0.889796497689708,0.14373249529920712,0.08377605791681966,0.2059557306961293,0.14373249529920729,0.08375677972523261,0.20545503080919067,False
Persistence baseline,persistence,ALL,6103,6,0.9300344093068983,0.9234802556119941,0.9364247091594298,0.376340421346139,0.34953333159591343,0.44900505297216087,0.28225531600960424,0.261976688809778,0.3087481684686719,0.9300344093068983,0.9226297166974963,0.9367939035096592,0.8620540982671094,0.8500677017075503,0.8740302504301479,0.8620540982671094,0.8499936581800004,0.8740013548561365,False
Majority-class baseline,majority,102,96,1,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,1.0,1.0,1.0,0.0,0.0,0.0,,,,True
Majority-class baseline,majority,104,160,1,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,1.0,1.0,1.0,0.0,0.0,0.0,,,,True
Majority-class baseline,majority,114,1829,3,0.9934390377255331,0.9896118097320941,0.9967195188627666,0.3333333333333333,0.3333333333333333,0.5,0.12458859023587493,0.12434734817257488,0.1247946330777656,0.9901693535640668,0.984444834083589,0.9950819731034081,0.0,0.0,0.0,0.0,0.0,0.0,False
Majority-class baseline,majority,118,2258,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Majority-class baseline,majority,201,1760,5,0.9215909090909091,0.9085227272727273,0.9335227272727272,0.2,0.2,0.25,0.11989946777054997,0.11900863352188151,0.12070232148104613,0.8839860760174184,0.8649763863704024,0.9014268826970855,0.0,0.0,0.0,0.0,0.0,0.0,False
Majority-class baseline,majority,ALL,6103,6,0.6054399475667704,0.5936383745698837,0.6180566934294609,0.16666666666666666,0.16666666666666666,0.2,0.09427944478464993,0.09312626750601441,0.09549367088607595,0.4566443368563414,0.4422666090916521,0.47216401977031425,0.0,0.0,0.0,0.0,0.0,0.0,False
